faction_id,faction_name_ru,faction_name_en,faction_type,start_year,end_year,description_ru,notes
central_leader,Центр / лидерский контур,Central leader circle,personal_power_center,1991,,"Персональный контур вокруг первого лица; не отдельная идеология, а узел координации и арбитража.","Use carefully: this is a modeling layer, not a formal institution."
yeltsin_family,Семья Ельцина,Yeltsin Family,personal_network,1994,2008,"Позднеельцинская сеть администрации, политических менеджеров, реформаторов и связанных бизнес-групп.",Research label; boundaries are debated.
liberal_economists,Либеральные экономисты / реформаторы,Liberal economists / reformers,ideological_functional,1991,,"Рыночные реформаторы, макроэкономический блок, финансово-экономические чиновники.",Not necessarily political liberals in contemporary sense.
technocrats,Технократы,Technocrats,functional,1991,,"Управленцы-исполнители, экономические и административные менеджеры, цифровизация, налоги, бюджет, ЦБ.",Often overlaps with liberal_economists or central_leader.
siloviki,Силовики,Siloviki,institutional,1991,,"Сети силовых ведомств: ФСБ, МВД, армия, Росгвардия, разведка, Совбез.",Broad category; includes people with different interests.
fsb_security,ФСБ / госбезопасность,FSB / state security,institutional_subnetwork,1995,,"Подгруппа силового контура, связанная с органами госбезопасности и контрразведки.",Sub-faction of siloviki.
military_defense,Военно-оборонный контур,Military-defense bloc,institutional_sectoral,1991,,"Минобороны, Генштаб, ВПК, оборонное планирование.",May overlap with siloviki but not identical.
foreign_policy,Внешнеполитический контур,Foreign policy establishment,functional,1991,,"МИД, дипломатический корпус, внешнеполитические советники.",Functional rather than clan category.
st_petersburg_network,Петербургская сеть,St Petersburg network,regional_personal_network,1991,,"Люди, связанные через Санкт-Петербург, мэрию, университет, бизнес и ранние карьерные пересечения.",Boundaries debated; use confidence.
energy_state_corporations,Энергетика / госкомпании,Energy and state corporations,sectoral,1999,,"Нефть, газ, крупные госкомпании, промышленный капитал.",Sectoral influence rather than formal faction.
political_managers,Политические менеджеры,Political managers,functional,1996,,"Администрация президента, выборы, партии, губернаторы, медиа и внутриполитическое управление.",Functional category.
parliamentary_elite,Парламентско-партийная элита,Parliamentary-party elite,institutional,1993,,"Руководство палат парламента, парламентских партий и фракций.",Formal institutional layer.
regional_mayoral_elites,Региональные / мэрские элиты,Regional and mayoral elites,regional,1991,,"Губернаторы, мэры, региональные руководители и их федеральные траектории.",Often feeder channel into federal power.
oligarchic_business_1990s,Олигархический бизнес 1990-х,1990s oligarchic business,business_network,1991,2008,"Крупный частный бизнес 1990-х, медиа- и финансово-промышленные группы.","Use for influence hypotheses, not formal state posts."
orthodox_conservative,Консервативно-идеологический контур,Conservative-ideological bloc,ideological,2000,,"Идеологические, культурно-консервативные и государственнические акторы.",Soft category; high uncertainty.
imp_dynastic_court,Династический двор,Dynastic court,court_dynastic,1801,1917,"Императорская семья, придворные каналы доступа, дворцовая политика.",Не формальная фракция; слой доступа к монарху.
imp_military_aristocracy,Военно-аристократический контур,Military aristocracy,military_aristocratic,1801,1917,"Генералитет, военные министры, аристократические военные сети.",Особенно важен при Николае I и в военных кризисах.
imp_bureaucratic_reformers,Бюрократические реформаторы,Bureaucratic reformers,bureaucratic_ideological,1801,1917,"Сановники и министры, связанные с правовыми, административными и социальными реформами.",Состав и смысл меняются от Сперанского до Столыпина.
imp_conservative_bureaucracy,Консервативная бюрократия,Conservative bureaucracy,bureaucratic_ideological,1801,1917,"Охранительная административная линия, порядок, самодержавие, контроль реформ.",Может пересекаться с реформаторами у умеренных фигур.
imp_foreign_policy_chancery,Дипломатическая канцелярия,Foreign policy chancery,functional,1801,1917,"МИД, канцлеры, дипломатическая школа Российской империи.","Функциональный контур, не клан."
imp_finance_modernizers,Финансовые модернизаторы,Finance modernizers,functional_economic,1801,1917,"Министры финансов, индустриализация, железные дороги, налоговая и денежная политика.",От Канкрина и Рейтерна до Витте.
imp_security_police,Охранно-полицейский аппарат,Security and police apparatus,security,1801,1917,"Третье отделение, МВД, охранка, полицейское управление.",Институционально менялся по эпохам.
imp_church_synod,Церковно-синодальный контур,Church and Synod network,religious_institutional,1801,1917,"Обер-прокурор Синода, церковная политика, идеология православного самодержавия.",Особенно заметно при Победоносцеве.
imp_zemstvo_liberal,Земско-либеральный контур,Zemstvo-liberal network,societal_political,1864,1917,"Земства, умеренные либеральные и общественные сети, иногда входящие в государственную политику.","В основном не ядро верховной власти, но важно для кризисов."
imp_court_favorites,Придворные фавориты / личный доступ,Court favorites and personal access,personal_access,1801,1917,"Фигуры, влияние которых связано с личным доступом к монарху и двору.",Использовать с высоким уровнем неопределенности.
rev_bolshevik_center,Большевистский центр,Bolshevik center,party_revolutionary,1917,1924,Ленинское ядро большевистского руководства и Совнаркома.,Сильно меняется в ходе гражданской войны.
rev_old_bolsheviks,Старые большевики,Old Bolsheviks,party_generation,1917,1938,Дореволюционное большевистское поколение.,"Поколенческий и биографический слой, не единая фракция."
rev_left_communists,Левые коммунисты,Left Communists,party_ideological,1918,1921,Левая оппозиция Брестскому миру и умеренной экономической линии ранних лет.,Периодная и спорная разметка.
rev_trotsky_military,Троцкистско-военный контур,Trotskyist / military revolutionary bloc,military_party,1918,1927,Военное строительство Красной армии и политические союзники Троцкого.,Не все военные автоматически троцкисты.
rev_party_org_apparatus,Партийно-организационный аппарат,Party organizational apparatus,party_apparatus,1919,1930,"Секретариат, Оргбюро, кадровый аппарат партии.",Ключевой слой роста влияния Сталина.
rev_cheka_security,ЧК / ранний аппарат безопасности,Cheka security apparatus,security,1917,1924,"ЧК, ВЧК, ранний аппарат принуждения и безопасности.",Переходит в более поздний security_apparatus.
rev_sovnarkom_government,Совнарком / правительственный контур,Sovnarkom governmental bloc,governmental,1917,1924,Правительственный слой ранней советской власти.,Пересекается с партийным центром.
stalin_inner_circle,Сталинский ближний круг,Stalin inner circle,personal_power_center,1924,1953,Ближний круг Сталина и ключевые фигуры персоналистской системы.,Периоды включения/исключения надо уточнять.
stalin_party_apparatus,Сталинский партийный аппарат,Stalin-era party apparatus,party_apparatus,1924,1953,"ЦК, секретариат, кадровый партийный контроль.",Не тождественно всему членству в партии.
stalin_security_apparatus,ОГПУ / НКВД / МГБ,OGPU / NKVD / MGB security apparatus,security,1924,1953,"Сталинский аппарат безопасности, репрессий и контроля.",Разделить по ведомствам в будущей версии.
stalin_military_command,Военное командование,Military command,military,1924,1953,"Наркомат обороны, маршалы, командование армии.",Сильно меняется после чисток и войны.
stalin_economic_planners,Госплан / экономические плановики,Economic planners,economic_planning,1928,1953,"Плановая экономика, Госплан, отраслевое управление.",Функциональный блок.
stalin_industrial_modernizers,Индустриальные модернизаторы,Industrial modernizers,industrial_policy,1928,1953,"Индустриализация, тяжелая промышленность, транспорт, мобилизационная экономика.",Пересекается с planning и party apparatus.
stalin_foreign_policy,Внешнеполитический сталинский контур,Stalin-era foreign policy,functional,1930,1953,НКИД/МИД и дипломатические решения сталинского периода.,Функциональный слой.
stalin_regional_party_bosses,Региональные партийные боссы,Regional party bosses,regional_party,1924,1953,"Первые секретари республик, областей и крупные региональные партийные руководители.",В seed размечено ограниченно.
poststalin_collective_leadership,Постсталинское коллективное руководство,Post-Stalin collective leadership,collective_leadership,1953,1964,Коалиционный верхний слой после смерти Сталина.,1953–1957 особенно важно моделировать как борьбу коалиций.
khrushchev_group,Группа Хрущёва,Khrushchev group,personal_power_center,1953,1964,Союзники и аппаратная база Хрущёва.,Состав меняется после 1957 и 1961.
poststalin_party_apparatus,Постсталинский партийный аппарат,Post-Stalin party apparatus,party_apparatus,1953,1964,"Секретариат, ЦК, аппарат КПСС после Сталина.",Переходит в брежневский party_apparatus.
poststalin_military_command,Постсталинское военное командование,Post-Stalin military command,military,1953,1964,"Военные элиты, роль армии в политике после Сталина.",Жуковский эпизод важен отдельно.
poststalin_security_apparatus,КГБ / аппарат безопасности 1953–1964,Security apparatus 1953-1964,security,1953,1964,Реформированный аппарат безопасности после Берии.,Требует более точной периодизации.
poststalin_economic_admins,Экономические администраторы 1953–1964,Economic administrators 1953-1964,economic_admin,1953,1964,"Совмин, Госплан, хозяйственный аппарат, совнархозы.",Функциональный слой.
poststalin_ideological_apparatus,Идеологический аппарат 1953–1964,Ideological apparatus 1953-1964,ideological,1953,1964,"Идеологический контроль, культура, партийная линия.",Суслов и др.
brezhnev_inner_circle,Брежневский ближний круг,Brezhnev inner circle,personal_power_center,1964,1982,Ближний круг Брежнева и устойчивое коллективное руководство.,Не сводится к Днепропетровской сети.
dnipropetrovsk_network,Днепропетровская сеть,Dnipropetrovsk network,regional_personal_network,1964,1985,Карьерные и региональные связи Брежнева и части позднесоветской элиты.,Использовать как гипотезу с confidence.
lateussr_party_apparatus,Позднесоветский партийный аппарат,Late Soviet party apparatus,party_apparatus,1964,1991,"ЦК, секретариат, Политбюро, аппарат КПСС.",Базовый слой позднесоветской власти.
lateussr_kgb_security,КГБ / позднесоветская безопасность,KGB security apparatus,security,1964,1991,КГБ и связанный контур безопасности.,Андроповская линия важна отдельно.
lateussr_military_industrial,ВПК / военный контур позднего СССР,Late Soviet military-industrial complex,military_industrial,1964,1991,"Минобороны, ВПК, оборонная промышленность.",Функционально-секторный блок.
lateussr_economic_admins,Позднесоветские экономические администраторы,Late Soviet economic administrators,economic_admin,1964,1991,"Совмин, Госплан, хозяйственный аппарат.",Часто пересекается с party apparatus.
lateussr_foreign_policy,Позднесоветский внешнеполитический контур,Late Soviet foreign policy establishment,functional,1964,1991,МИД и внешнеполитические советники позднего СССР.,Громыко и школа МИД.
lateussr_ideological_apparatus,Позднесоветский идеологический аппарат,Late Soviet ideological apparatus,ideological,1964,1991,"Идеология, культура, партийная ортодоксия.",Сусловская линия.
perestroika_gorbachev_reformers,Горбачёвские реформаторы,Gorbachev reformers,reformist_power_center,1985,1991,Реформаторский контур перестройки вокруг Горбачёва.,Широкая и неоднородная категория.
perestroika_party_conservatives,Партийные консерваторы перестройки,Perestroika party conservatives,party_conservative,1985,1991,"Партийные силы, сопротивлявшиеся радикализации перестройки.",ГКЧП и консервативные сети требуют отдельной разметки.
perestroika_security_apparatus,Силовой контур перестройки,Perestroika security apparatus,security,1985,1991,"КГБ, МВД, силовые структуры периода распада СССР.",Особенно важно для 1991.
perestroika_economic_reformers,Экономические реформаторы перестройки,Perestroika economic reformers,economic_reform,1985,1991,"Экономическая реформа, переходные программы, рыночные элементы.",Спорная категория.
perestroika_union_center,Союзный центр,Union center,institutional_center,1985,1991,Институции союзного центра в борьбе с республиканскими элитами.,"Слой институтов, не только персон."
perestroika_republican_elites,Республиканские элиты,Republican elites,republican_regional,1988,1991,Руководители и политические элиты союзных республик.,В seed ограничено РСФСР/Ельцинским контуром.
perestroika_new_thinking_foreign_policy,Новое мышление / внешняя политика,New Thinking foreign policy,foreign_policy_reform,1985,1991,Внешнеполитические реформаторы и линия нового мышления.,Функционально-идеологический слой.
