event_id,date,event_name,event_type,severity,elite_initiated,confidence,decision_domain,initiator_group,initiator_person_id,initiator_faction_id,event_scope,notes,source_url
evt_1947_truman_doctrine,1947-03-12,Truman Doctrine announced,foreign_policy_doctrine,4,true,0.95,foreign_policy,Executive/State Department,p_truman_harry,fac_natsec_establishment,international,Reorientation toward containment and assistance to states under authoritarian pressure.,https://history.state.gov/milestones/1945-1952/truman-doctrine
evt_1948_marshall_plan,1948-04-03,Economic Cooperation Act / Marshall Plan signed,economic_foreign_aid,4,true,0.95,foreign_policy_economy,Executive/State Department/Congress,p_marshall_george,fac_globalists,international,Institutionalized large-scale U.S. foreign aid and European recovery.,https://history.state.gov/milestones/1945-1952/marshall-plan
evt_1949_nato,1949-04-04,North Atlantic Treaty signed,alliance_creation,5,true,0.95,security_alliance,Executive/State Department,p_acheson_dean,fac_globalists,international,Core alliance architecture.,https://history.state.gov/milestones/1945-1952/nato
evt_1954_brown,1954-05-17,Brown v. Board of Education decision,judicial_decision,5,false,0.9,domestic_rights,Supreme Court/civil rights litigation,,,domestic,Major civil rights event; not modeled as executive elite-initiated.,https://supreme.justia.com/cases/federal/us/347/483/
evt_1964_tonkin,1964-08-07,Gulf of Tonkin Resolution,war_authorization,5,true,0.9,war,Executive/Congress,p_johnson_lyndon,fac_natsec_establishment,international,Enabled escalation in Vietnam.,https://www.archives.gov/milestone-documents/tonkin-gulf-resolution
evt_1965_vietnam_escalation,1965-03-08,U.S. combat troops land in Vietnam,military_escalation,5,true,0.9,war,Executive/Defense/NSC,p_mcnamara_robert,fac_natsec_establishment,international,Combat troop deployment; model uses first Marines landing as marker.,https://history.state.gov/milestones/1961-1968/gulf-of-tonkin
evt_1973_trilateral_founded,1973-07-01,Trilateral Commission founded,network_creation,2,true,0.85,elite_network,Private transnational policy network,p_rockefeller_david,fac_cfr_trilateral,transnational,Non-state network event; useful for globalist faction layer. Date uses month-level approximation set to first day.,https://www.britannica.com/topic/Trilateral-Commission
evt_1973_kissinger_state,1973-09-22,Kissinger becomes Secretary of State while NSA,elite_role_concentration,3,true,0.9,foreign_policy_governance,Executive,p_kissinger_henry,fac_natsec_establishment,domestic_institutional,Proxy event for high concentration of foreign-policy authority.,https://history.state.gov/historicaldocuments/frus1969-76v38p1/d16
evt_1979_iran_hostage,1979-11-04,Iran hostage crisis begins,foreign_crisis,5,false,0.9,foreign_policy_crisis,Iranian revolutionary actors,,,international,External crisis; included to contextualize Carter/Brzezinski era.,https://history.state.gov/departmenthistory/short-history/iraniancrises
evt_1991_gulf_war,1991-01-17,Operation Desert Storm begins,war,5,true,0.95,war,Executive/Defense/Coalition,p_bush_george_hw,fac_natsec_establishment,international,Major U.S.-led war under UN/coali­tion framework.,https://history.state.gov/milestones/1989-1992/gulf-war
evt_2001_911,2001-09-11,September 11 attacks,terror_attack,5,false,0.98,security_crisis,Al-Qaeda,,,domestic_international,Non-elite initiated shock event; drives subsequent elite response metrics.,https://www.9-11commission.gov/report/911Report.pdf
evt_2001_patriot_act,2001-10-26,USA PATRIOT Act signed,security_legislation,4,true,0.95,domestic_security,Executive/Congress/security agencies,p_bush_george_w,fac_natsec_establishment,domestic,Expanded surveillance/security authorities after 9/11.,https://www.congress.gov/bill/107th-congress/house-bill/3162
evt_2003_iraq_invasion,2003-03-20,U.S.-led invasion of Iraq begins,war,5,true,0.95,war,Executive/Defense,p_bush_george_w,fac_neoconservatives,international,Major war; initiator faction uses interventionist-hawk proxy.,https://history.state.gov/milestones/2001-2009/iraq
evt_2008_tarp,2008-10-03,Emergency Economic Stabilization Act / TARP signed,financial_rescue,5,true,0.95,economy_finance,Executive/Treasury/Federal Reserve/Congress,p_bush_george_w,fac_business_finance,domestic_global,Financial-crisis rescue.,https://home.treasury.gov/data/troubled-assets-relief-program
evt_2010_aca,2010-03-23,Affordable Care Act signed,domestic_legislation,4,true,0.95,health_policy,Executive/Congress,p_obama_barack,fac_democratic_party,domestic,Major domestic reform.,https://www.congress.gov/bill/111th-congress/house-bill/3590
evt_2016_trump_elected,2016-11-08,Donald Trump elected president,election,4,false,0.95,election,Voters/electoral system,p_trump_donald,fac_populist_nationalists,domestic,Political renewal/shock marker; not elite-initiated.,https://www.archives.gov/electoral-college/2016
evt_2020_covid_emergency,2020-03-13,COVID-19 national emergency declared,public_health_emergency,5,true,0.95,public_health,Executive/Public health agencies,p_trump_donald,fac_natsec_establishment,domestic_global,Emergency response event; public-health/security state expansion proxy.,https://trumpwhitehouse.archives.gov/briefings-statements/proclamation-declaring-national-emergency-concerning-novel-coronavirus-disease-covid-19-outbreak/
evt_2021_jan6,2021-01-06,Attack on the U.S. Capitol,domestic_political_violence,5,false,0.9,regime_stability,Pro-Trump rioters / political mobilization,,fac_populist_nationalists,domestic,Major regime-stability event; initiator_person_id omitted due to contested legal attribution.,https://www.govinfo.gov/collection/january-6th-committee-final-report
evt_2021_afghanistan_withdrawal,2021-08-30,U.S. completes Afghanistan withdrawal,military_withdrawal,4,true,0.9,war,Executive/Defense/State,p_biden_joe,fac_democratic_party,international,End marker for U.S. military presence in Afghanistan.,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/31/remarks-by-president-biden-on-the-end-of-the-war-in-afghanistan/
evt_2025_trump_second_inauguration,2025-01-20,Donald Trump inaugurated as 47th president,inauguration,4,false,0.95,election_transition,Electoral system/voters,p_trump_donald,fac_populist_nationalists,domestic,Current-period ruler transition marker.,https://www.whitehouse.gov/administration/donald-j-trump/
